nome,cognome,data_nascita
Fatima,Bruno,2012-02-23
Federico,Conti,2009-12-15
Paolo,Leone,2011-04-17
Luca,Greco,2005-11-05
Maya,Sabbah,2006-09-03
Giovanni,Esposito,2009-02-21
Rosa,Haddad,2006-08-30
Emma,Bruno,2005-06-21
Gabriele,Serra,2005-06-13
Lina,Ferrari,2007-05-11
Eleonora,Rizzo,2012-06-24
Matteo,Ferrari,2011-04-13
Maya,Caruso,2011-12-18
Mehdi,Gallo,2007-08-28
Ines,Conti,2006-12-27
Maya,Caruso,2005-04-12
Sofia,Mariani,2009-08-14
Mohamed,Ziani,2007-10-14
Lorenzo,Conti,2012-11-12
Matteo,Farina,2005-06-08
Adam,Martinelli,2007-07-01
Giorgia,Gentile,2008-12-03
Gabriele,Giordano,2007-07-03
Marco,Ziani,2007-03-03
Noemi,Mariani,2008-02-16
Ines,Colombo,2008-02-18
Valentina,Khalil,2010-09-18
Noemi,Cherkaoui,2011-01-06
Maria,Bianchi,2006-04-18
Maya,Lombardi,2007-01-02
Rosa,Lombardi,2005-06-06
Matteo,Fassi,2009-11-15
Valentina,Santoro,2009-11-23
Laura,Lombardo,2006-04-19
Greta,Mansouri,2007-02-18
Federico,Esposito,2012-12-13
Emma,Rossi,2010-10-31
Mohamed,Bennani,2012-09-14
Amir,Ziani,2007-03-19
Beatrice,Leone,2005-10-14
Marta,Mariani,2011-12-28
Anna,Ziani,2006-05-26
Amir,Fontana,2010-09-09
Gabriele,Ziani,2009-07-31
Anna,Rinaldi,2012-10-26
Riccardo,Haddad,2006-06-06
Giorgia,Caruso,2012-06-16
Greta,Cherkaoui,2006-12-14
Federica,Mansouri,2008-05-17
Noemi,Haddad,2005-01-02
Gabriele,Barbieri,2007-05-11
Emma,Rachidi,2011-10-21
Ilaria,Santoro,2010-03-20
Leonardo,Longo,2012-07-30
Aurora,Lombardo,2010-04-23
Amina,Conti,2012-05-22
Alessandro,Barbieri,2010-10-13
Marta,Ait Lahcen,2011-12-12
Maria,Ricci,2007-08-21
Eleonora,Fontana,2007-07-10
Mohamed,Mancini,2006-08-27
Marco,Esposito,2007-09-30
Nicolas,Benali,2005-10-26
Tommaso,Caruso,2012-01-24
Pietro,Mancini,2012-10-23
Greta,Vitale,2009-06-25
Simone,Gallo,2012-05-11
Youssef,Rossi,2006-03-13
Fatima,Leone,2007-06-16
Sofia,Sabbah,2010-10-23
Tommaso,Romano,2011-04-03
Simone,Greco,2010-02-13
Chiara,Gentile,2012-06-27
Antonio,Haddad,2011-09-05
Anna,Longo,2011-11-15
Omar,Lombardo,2009-10-14
Rayan,Haddad,2010-01-01
Lina,Conti,2010-04-29
Leonardo,Lombardi,2007-10-10
Rayan,Ait Lahcen,2008-02-10
Fatima,El Amrani,2010-06-08
Claudia,Rizzo,2008-01-30
Leonardo,Colombo,2008-03-16
Simone,Moretti,2008-10-07
Anna,Bennani,2005-11-27
Chiara,Gallo,2007-08-06
Greta,Sabbah,2006-09-18
Karim,Costa,2005-09-21
Alice,Caruso,2008-09-17
Giovanni,Gentile,2009-08-31
Sara,Costa,2009-09-17
Greta,Rachidi,2012-10-19
Marco,Mansouri,2009-04-08
Nicolas,Rossi,2008-12-11
Gabriele,Farina,2009-09-13
Giovanni,Bennani,2011-10-07
Lina,Giordano,2010-06-23
Andrea,Moretti,2009-11-21
Samuele,Bianchi,2009-05-12
Maria,Ziani,2012-08-13
Mohamed,Rinaldi,2006-11-08
Rayan,Gentile,2006-06-07
Federica,Bennani,2005-04-21
Nora,Rinaldi,2011-08-22
Pietro,Ziani,2005-04-22
Alessandro,Khalil,2009-10-22
Chiara,Gentile,2007-01-15
Sara,Lombardi,2009-04-02
Anna,Costa,2010-02-06
Anna,Mariani,2009-04-02
Lorenzo,Caruso,2007-10-31
Rayan,Ricci,2010-04-11
Marco,Bennani,2005-08-02
Valentina,Giordano,2012-04-16
Francesco,Khalil,2005-06-14
Nadia,Bianchi,2007-10-10
Giorgia,Bianchi,2011-12-20
Martina,Rizzo,2006-06-02
Nicolas,Ziani,2006-04-14
Pietro,Costa,2010-03-20
Youssef,Lombardi,2009-02-19
Elena,Fassi,2011-10-24
Mehdi,Greco,2006-11-02
Gabriele,Marino,2011-06-29
Marco,Fontana,2011-06-17
Eleonora,Farina,2009-06-13
Karim,Mancini,2005-11-08
Rosa,Sabbah,2012-01-14
Simone,Marino,2012-10-26
Fatima,Fontana,2012-09-03
Laura,Greco,2011-05-08
Amina,Esposito,2008-11-23
Giovanni,Leone,2012-06-02
Beatrice,Colombo,2010-09-04
Ilaria,Mariani,2005-02-21
Adam,Caruso,2010-07-01
Matteo,Leone,2009-01-23
Claudia,Gentile,2012-12-07
Martina,Leone,2006-12-23
Amir,El Amrani,2012-04-18
Lorenzo,Benali,2011-01-14
Fatima,Martinelli,2010-03-20
Emma,Rachidi,2008-01-05
Anna,Rizzo,2005-12-21
Lorenzo,Longo,2007-09-26
Nadia,Gentile,2011-05-24
Federica,Ziani,2009-04-02
Maria,Bianchi,2010-07-18
Adam,Santoro,2007-01-15
Samuele,Costa,2008-12-24
Mohamed,Lombardi,2008-10-26
Lorenzo,Fassi,2012-11-12
Maya,Moretti,2011-03-27
Luca,El Amrani,2007-02-22
Alessandro,Rizzo,2009-07-23
Samuele,Haddad,2007-09-12
Youssef,Martinelli,2012-03-30
Karim,Vitale,2010-01-10
Amina,Bianchi,2006-01-17
Riccardo,Giordano,2009-07-15
Youssef,Rizzo,2008-06-08
Marta,Rachidi,2009-02-20
Nicolas,Haddad,2010-12-15
Valentina,Leone,2011-03-05
Maria,Ferrari,2012-11-18
Tommaso,Moretti,2008-06-09
Federico,Giordano,2006-05-10
Amir,Mancini,2008-07-16
Davide,Bennani,2012-09-27
Sofia,Mancini,2007-06-06
Mehdi,Martinelli,2008-02-07
Amir,Rachidi,2010-11-19
Laura,Barbieri,2006-02-16
Rayan,Mancini,2008-04-28
Andrea,Serra,2007-01-05
Gabriele,Rossi,2012-12-10
Giovanni,Bruno,2008-01-29
Giulia,Romano,2011-03-17
Riccardo,Sabbah,2006-06-02
Claudia,Vitale,2006-02-25
Ines,Rossi,2011-06-10
Riccardo,Martinelli,2010-05-15
Leonardo,Mariani,2007-01-26
Sara,Lombardi,2010-05-11
Davide,Colombo,2009-06-30
Samuele,Colombo,2011-06-22
Claudia,Cherkaoui,2005-08-08
Martina,Gallo,2011-04-25
Gabriele,Ricci,2007-10-14
Davide,Haddad,2009-09-01
Laura,Fassi,2011-12-09
Andrea,El Amrani,2009-04-08
Leonardo,Longo,2008-05-02
Ines,Rachidi,2009-10-23
Gabriele,Mansouri,2011-12-19
Sara,Benali,2006-02-11
Nadia,Costa,2012-01-07
Aurora,Lombardi,2012-05-29
Alessandro,Conti,2007-09-10
Sofia,Haddad,2005-11-04
Elena,Rossi,2009-08-01
Leonardo,Sabbah,2011-08-30
Nicolas,Barbieri,2005-05-14
Andrea,Barbieri,2012-12-05
Riccardo,Sabbah,2010-02-03
Francesco,Cherkaoui,2007-08-15
Federico,Ait Lahcen,2011-08-13
Marta,Mancini,2009-10-08
Davide,Bennani,2007-07-10
Ilaria,Gallo,2007-12-25
Omar,Gallo,2005-10-20
Sara,Conti,2008-06-13
Laura,Mansouri,2008-03-28
Leonardo,Greco,2010-04-04
Youssef,Fontana,2012-11-06
Noemi,Moretti,2010-08-12
Giovanni,Vitale,2009-11-29
Alessandro,Fassi,2005-06-13
Maya,Leone,2008-08-13
Laura,Lombardi,2005-04-16
Alessandro,Giordano,2012-07-24
Rayan,Mansouri,2011-08-02
Marco,Cherkaoui,2008-01-09
Pietro,Esposito,2006-12-19
Nicolas,El Amrani,2012-04-22
Leonardo,Moretti,2007-01-14
Rosa,Leone,2012-02-14
Omar,Vitale,2006-01-09
Nicolas,Ferrari,2009-07-31
Maria,Santoro,2012-07-07
Matteo,Conti,2008-09-12
Alice,Sabbah,2010-07-23
Riccardo,Ziani,2009-06-29
Omar,Haddad,2005-05-31
Tommaso,Ricci,2008-07-12
Federico,Santoro,2006-04-20
Fatima,Rinaldi,2010-10-09
Omar,Rossi,2012-05-17
Ines,Bennani,2010-03-08
Alice,Romano,2007-02-08
Antonio,Serra,2011-12-26
Nadia,Vitale,2012-01-06
Leonardo,Romano,2007-04-14
Lorenzo,Haddad,2006-06-21
Riccardo,Longo,2012-10-31
Samuele,Greco,2005-04-29
Claudia,Fassi,2007-09-08
Karim,Conti,2008-06-26
Paolo,Rossi,2011-03-13
Alice,Ricci,2007-07-10
Rayan,Greco,2010-03-06
Davide,Khalil,2006-09-23
Samuele,Barbieri,2010-09-16
Karim,Moretti,2009-08-29
Rayan,Martinelli,2010-04-19
Simone,Gentile,2011-03-08
Martina,Farina,2007-02-20
Nora,Fassi,2010-09-13
Mehdi,Bruno,2005-10-13
Lorenzo,Caruso,2008-10-24
Amina,Lombardo,2007-12-31
Omar,Rossi,2008-03-04
Amir,Fontana,2011-08-02
Rosa,Ziani,2010-06-29
Ines,Gallo,2010-01-04
Giovanni,Martinelli,2008-11-14
Maria,Haddad,2011-02-04
Greta,Gentile,2008-08-11
Ines,Mancini,2012-10-27
Simone,Mansouri,2009-04-18
Andrea,Caruso,2005-06-28
Anna,Martinelli,2012-11-28
Nora,Farina,2009-05-01
Marta,Khalil,2006-09-16
Samuele,Esposito,2006-06-02
Michele,Rachidi,2008-09-21
Ines,Marino,2009-12-09
Matteo,El Amrani,2010-02-15
Luca,Gallo,2009-08-07
Ines,Khalil,2006-09-25
Francesco,Martinelli,2007-12-22
Maria,Benali,2012-10-08
Noemi,Khalil,2005-11-25
Adam,Mariani,2012-07-25
Adam,Bennani,2009-04-06
Anna,Ait Lahcen,2010-06-22
Ines,Bennani,2005-05-28
Federica,Colombo,2007-08-20
Claudia,Cherkaoui,2008-03-23
Andrea,Ricci,2009-11-13
Matteo,Ait Lahcen,2012-11-23
Ines,Marino,2009-12-23
Elena,Sabbah,2008-05-11
Lina,Bianchi,2005-07-08
Anna,Romano,2008-04-16
Valentina,Serra,2009-10-31
Martina,Rizzo,2010-12-16
Alice,Mansouri,2012-08-24
Amina,De Luca,2006-11-28
Sofia,Ricci,2011-11-02
Ines,Farina,2011-12-14
Eleonora,Rizzo,2010-08-01
Nora,Rachidi,2006-08-10
Andrea,Gentile,2012-02-26
Federico,Gentile,2007-11-12
Marta,Rossi,2010-03-21
Lina,Barbieri,2012-08-07
Giovanni,Conti,2005-10-30
Leonardo,Ferrari,2011-08-04
Gabriele,Ait Lahcen,2009-10-04
Youssef,Lombardi,2010-02-15
Adam,Fontana,2007-03-27
Greta,Martinelli,2006-03-13
Simone,Farina,2011-06-01
Valentina,Mansouri,2008-04-26
Youssef,Barbieri,2005-03-31
Rayan,Ziani,2009-06-10
Lorenzo,Rossi,2011-05-08
Ines,Cherkaoui,2005-07-20
Nora,Fassi,2010-07-28
Rayan,Barbieri,2007-08-01
Laura,Ferrari,2007-06-17
Claudia,Mancini,2011-12-19
Federico,Cherkaoui,2012-05-24
Eleonora,Bruno,2012-01-18
Matteo,Ait Lahcen,2012-04-01
Giulia,Fontana,2009-12-11
Giulia,Rachidi,2009-02-03
Amir,Bruno,2006-01-05
Nora,Barbieri,2008-08-31
Mehdi,Caruso,2006-12-21
Giorgia,Bruno,2011-01-19
Maya,Serra,2010-12-15
Michele,Moretti,2006-11-05
Federico,Martinelli,2008-04-23
Mehdi,Mariani,2006-04-17
Tommaso,Colombo,2006-07-31
Nadia,Giordano,2012-08-02
Amir,Cherkaoui,2009-06-16
Adam,Haddad,2009-02-07
Alessandro,Rinaldi,2005-02-27
Federico,Bennani,2006-05-22
Tommaso,Serra,2012-07-18
Mehdi,Cherkaoui,2007-12-10
Rosa,Farina,2012-02-29
Beatrice,Marino,2012-07-27
Andrea,Martinelli,2005-04-13
Federica,Haddad,2008-09-05
Nora,Benali,2007-06-26
Ilaria,Colombo,2012-02-16
Omar,Gentile,2012-11-11
Gabriele,Khalil,2009-07-31
Davide,Bruno,2005-07-05
Giulia,Fontana,2010-07-11
Davide,Marino,2007-08-20
Maya,Bennani,2006-07-10
Greta,Gentile,2009-02-28
Marta,Sabbah,2011-01-22
Alice,Rachidi,2006-09-25
Maya,Caruso,2012-05-06
Matteo,Vitale,2011-11-27
Alice,Moretti,2005-05-15
Youssef,Serra,2007-06-09
Leonardo,Longo,2007-08-26
Adam,Serra,2006-02-11
Eleonora,Serra,2011-02-09
Lina,Khalil,2009-01-09
Sara,Rinaldi,2008-02-05
Giorgia,Greco,2010-02-06
Alessandro,Ziani,2007-05-19
Ilaria,Ait Lahcen,2011-09-12
Marco,Romano,2008-09-28
Simone,Bruno,2011-05-02
Aurora,Colombo,2011-03-21
Aurora,Rachidi,2007-06-04
Omar,Giordano,2008-09-07
Fatima,Gallo,2011-09-08
Luca,Moretti,2006-08-16
Chiara,Bennani,2007-10-24
Mohamed,De Luca,2006-03-27
Marta,Bianchi,2006-06-24
Luca,Ferrari,2007-09-02
Rosa,Santoro,2005-03-06
Sofia,Lombardi,2005-08-03
Chiara,Caruso,2010-11-25
Davide,Colombo,2010-05-05
Leonardo,Serra,2010-10-04
Rosa,Marino,2010-01-26
Michele,Giordano,2011-11-25
Giulia,Ziani,2010-11-06
Gabriele,Gentile,2012-03-20
Marco,Romano,2010-05-16
Adam,Rinaldi,2009-10-13
Eleonora,Marino,2010-07-02
Karim,Longo,2005-10-29
Lina,Ricci,2008-08-12
Laura,Gallo,2005-09-27
Chiara,Moretti,2012-01-02
Claudia,Rachidi,2011-02-25
Karim,Santoro,2009-04-10
Laura,El Amrani,2008-04-22
Tommaso,Lombardo,2011-10-16
Emma,Marino,2012-11-14
Davide,Khalil,2012-04-20
Maya,Haddad,2007-05-31
Emma,Longo,2007-07-25
Alice,Mariani,2010-02-01
Noemi,Caruso,2006-01-25
Anna,Leone,2008-07-04
Marta,Lombardi,2009-03-14
Martina,Cherkaoui,2010-04-27
Francesco,Ricci,2005-12-16
Alessandro,Leone,2006-01-31
Mehdi,Serra,2006-06-17
Paolo,Romano,2011-07-31
Paolo,Haddad,2008-09-12
Marta,Greco,2009-08-10
Valentina,Ziani,2009-09-29
Ines,Romano,2008-03-24
Laura,Fontana,2008-12-11
Matteo,Mansouri,2010-09-10
Aurora,Gallo,2012-05-13
Nicolas,Giordano,2006-03-20
Valentina,Haddad,2009-02-14
Davide,Moretti,2011-06-10
Andrea,Leone,2011-04-17
Fatima,Benali,2011-11-19
Eleonora,Khalil,2011-03-31
Marco,Fassi,2012-05-18
Rayan,Sabbah,2008-01-01
Marco,De Luca,2008-01-25
Youssef,Fontana,2008-10-23
Valentina,Rossi,2007-01-14
Ines,Gallo,2011-05-09
Marta,Rinaldi,2005-10-13
Martina,Ait Lahcen,2005-05-06
Alessandro,El Amrani,2007-06-01
Greta,Caruso,2010-02-02
Maria,Conti,2009-02-24
Gabriele,Santoro,2011-05-14
Laura,Ricci,2005-08-04
Martina,Conti,2011-12-06
Sara,Cherkaoui,2005-12-01
Lorenzo,Longo,2012-06-04
Emma,Vitale,2011-10-23
Leonardo,Caruso,2008-01-24
Aurora,Lombardo,2006-04-12
Valentina,Leone,2006-03-31
Riccardo,Cherkaoui,2012-08-11
Rosa,Vitale,2010-11-29
Marta,Fontana,2005-07-06
Andrea,Rinaldi,2011-09-21
Sara,Rossi,2007-04-18
Gabriele,Costa,2006-07-17
Nadia,Lombardi,2008-03-31
Anna,Greco,2005-02-01
Samuele,Leone,2006-12-21
Chiara,Farina,2010-12-22
Karim,Giordano,2010-08-12
Paolo,Ziani,2008-12-21
Francesco,Rinaldi,2005-06-23
Emma,Bianchi,2010-02-27
Nora,Colombo,2008-07-06
Pietro,Leone,2011-06-07
Noemi,Ait Lahcen,2009-09-07
Riccardo,Greco,2009-07-18
Marco,Santoro,2006-12-05
Mohamed,Benali,2010-02-28
Rayan,Sabbah,2009-01-22
Alessandro,Leone,2006-03-10
Simone,Leone,2011-08-10
Noemi,El Amrani,2005-11-19
Noemi,Fontana,2008-10-22
Andrea,Mariani,2006-11-20
Francesco,Lombardo,2012-02-07
Davide,El Amrani,2010-09-20
Giorgia,Ferrari,2008-12-09
Amir,Khalil,2006-08-28
Simone,Marino,2006-08-23
Federico,Mancini,2006-12-12
Laura,Gallo,2012-05-08
Francesco,De Luca,2012-01-17
Samuele,Gentile,2011-04-29
Nadia,Rachidi,2010-01-13
Eleonora,Mansouri,2012-03-18
Claudia,Benali,2008-08-16
Ines,Ait Lahcen,2008-07-18
Martina,Longo,2005-10-07
Nicolas,Longo,2012-01-31
Gabriele,Moretti,2011-08-20
Sara,Ferrari,2010-09-10
Francesco,Fontana,2010-03-07
Leonardo,Esposito,2005-08-22
Beatrice,Barbieri,2005-11-11
Ilaria,Ricci,2011-11-25
Laura,Lombardo,2009-04-24
Tommaso,Rachidi,2011-03-21
Amina,Esposito,2010-01-17
Nora,Mansouri,2012-04-23
Giorgia,Santoro,2011-10-15
Nicolas,Lombardo,2006-09-10
Sara,Longo,2006-02-28
Mohamed,Mariani,2005-12-12
Michele,Khalil,2006-12-08
Giulia,Rizzo,2012-12-08
Leonardo,Longo,2010-11-17
Antonio,Benali,2006-10-13
Beatrice,Serra,2008-03-04
Greta,Caruso,2008-10-17
Eleonora,Fassi,2005-08-03
Amina,Ait Lahcen,2012-04-05
Maria,Colombo,2008-09-12
Matteo,Haddad,2012-08-10
Greta,Barbieri,2007-10-30
Amir,Ziani,2011-10-05
Ines,Gallo,2008-09-27
Alessandro,Rachidi,2012-06-11
Martina,Ferrari,2008-06-24
Ilaria,Sabbah,2012-06-05
Noemi,Bruno,2011-09-04
Karim,Ricci,2008-06-22
Paolo,Farina,2012-03-20
Amina,Mariani,2006-06-08
Marta,Sabbah,2012-09-08
Nora,El Amrani,2006-01-18
Ilaria,Ziani,2009-10-01
Michele,Serra,2005-03-16
Beatrice,Fontana,2007-01-09
Aurora,Mariani,2010-06-15
Giorgia,Giordano,2006-07-18
Martina,Colombo,2008-04-26
Adam,Marino,2010-09-11
Fatima,Bennani,2010-11-27
Giulia,Ziani,2008-10-11
Maya,Benali,2006-06-21
Laura,Farina,2006-09-24
Elena,De Luca,2012-10-08
Fatima,Benali,2006-11-10
Amir,Longo,2005-06-28
Alice,Serra,2012-08-02
Amir,Rizzo,2009-12-25
Federica,Barbieri,2010-01-13
Andrea,Bennani,2007-09-07
Gabriele,Martinelli,2007-03-06
Beatrice,Cherkaoui,2011-05-26
Leonardo,Gentile,2008-02-29
Fatima,Farina,2010-08-22
Antonio,Caruso,2006-10-26
Omar,Mancini,2011-10-13
Chiara,Lombardi,2005-08-02
Ilaria,Martinelli,2009-03-01
Paolo,Marino,2012-12-23
Adam,El Amrani,2006-05-26
Riccardo,Ricci,2006-10-19
Lorenzo,Longo,2010-10-04
Martina,Leone,2006-01-11
Nora,Giordano,2010-01-22
Maya,Ferrari,2005-04-20
Alice,Romano,2009-06-12
Michele,Serra,2007-08-24
Greta,Ricci,2009-03-16
Andrea,Bianchi,2008-07-29
Matteo,Khalil,2008-10-05
Amina,Gallo,2006-07-18
Giulia,Barbieri,2010-04-20
Youssef,Bruno,2012-11-29
Nicolas,Longo,2011-11-26
Luca,Ricci,2005-03-19
Federico,Costa,2006-09-05
Paolo,Fassi,2010-12-02
Emma,Greco,2008-03-26
Simone,Fontana,2006-05-15
Sara,Rizzo,2009-09-16
Claudia,Benali,2010-02-16
Francesco,Greco,2010-08-10
Laura,Bennani,2005-03-09
Claudia,Lombardo,2011-06-14
Simone,Gallo,2008-04-08
Emma,Rossi,2011-11-24
Valentina,Rizzo,2011-05-27
Alice,De Luca,2012-06-14
Marta,Ricci,2010-11-15
Beatrice,Colombo,2010-11-25
Giovanni,Lombardo,2010-09-11
Paolo,Bianchi,2009-05-19
Ines,Martinelli,2005-06-28
Claudia,Farina,2009-03-10
Federico,Bianchi,2009-01-02
Amina,Colombo,2008-11-13
Simone,Ziani,2012-01-18
Matteo,Rachidi,2008-09-23
Chiara,Esposito,2008-12-14
Giovanni,Mariani,2012-03-17
Sofia,Cherkaoui,2010-03-19
Youssef,Martinelli,2012-02-01
Sofia,Bruno,2005-09-16
Karim,Gentile,2005-06-01
Riccardo,Mancini,2005-06-29
Amina,Mancini,2005-06-21
Anna,Fontana,2010-10-13
Noemi,Bennani,2010-04-24
Federico,Esposito,2012-04-03
Giorgia,Barbieri,2009-01-02
Ines,Romano,2012-05-09
Maria,Moretti,2006-05-25
Mohamed,Serra,2009-11-25
Maya,Rinaldi,2009-12-07
Lina,Farina,2008-10-20
Sofia,Vitale,2012-10-05
Samuele,Serra,2010-10-28
Lorenzo,Ricci,2009-10-05
Alessandro,Leone,2011-10-04
Omar,De Luca,2011-02-13
Riccardo,Santoro,2006-02-25
Alessandro,Santoro,2012-05-31
Riccardo,Fontana,2010-01-01
Laura,Leone,2006-11-14
Youssef,Longo,2008-12-10
Leonardo,Esposito,2008-12-15
Federica,Leone,2008-01-30
Claudia,Romano,2005-11-04
Marta,Ait Lahcen,2009-07-22
Beatrice,Lombardo,2012-08-14
Elena,Bianchi,2006-08-08
Adam,Fassi,2012-08-09
Amina,Longo,2005-05-23
Chiara,Colombo,2007-08-25
Fatima,Khalil,2009-02-09
Beatrice,Farina,2011-05-13
Giulia,Fassi,2006-09-21
Eleonora,Longo,2009-02-28
Beatrice,Longo,2005-11-11
Pietro,Bruno,2010-12-09
Beatrice,Rinaldi,2008-07-11
Ilaria,Moretti,2007-10-20
Davide,Bianchi,2007-02-02
Samuele,El Amrani,2009-05-05
Nora,Haddad,2006-04-28
Federico,Lombardi,2012-11-23
Leonardo,Costa,2011-11-12
Riccardo,Sabbah,2010-07-05
Giorgia,Greco,2006-07-10
Adam,Colombo,2010-01-26
Sofia,Longo,2005-12-26
Mohamed,Cherkaoui,2008-08-02
Marta,Ferrari,2012-12-16
Francesco,Haddad,2011-01-30
Riccardo,Fontana,2006-10-08
Karim,Sabbah,2012-02-26
Sofia,Serra,2010-09-15
Andrea,Greco,2007-04-04
Amina,Bruno,2007-08-28
Amina,Vitale,2005-04-18
Beatrice,Haddad,2011-06-03
Beatrice,Gentile,2011-03-10
Chiara,Benali,2005-12-20
Francesco,Fontana,2009-06-19
Karim,Martinelli,2010-11-24
Alice,Caruso,2011-06-13
Francesco,Bruno,2008-07-22
Ilaria,Colombo,2010-01-18
Tommaso,Cherkaoui,2010-10-21
Valentina,Bruno,2011-03-09
Claudia,Rachidi,2007-01-16
Fatima,Bruno,2009-11-08
Michele,Romano,2006-05-24
Antonio,Gallo,2008-05-30
